íTçıê[ìx,évçléûä‘,íTçıÉmÅ[Éhêî,íTçıë¨ìx,êÑíËCPUÉXÉRÉA
E3F5G6F3F4D3
4,0.00,10270,3423333.33,3.00,C6
4,0.00,9326,3108666.67,24.00,F6
6,0.08,238476,3137842.11,9.00,F2
6,0.07,208511,2895986.11,20.00,G3
8,1.43,4146841,2905985.28,15.00,F2
8,1.86,5481584,2945504.57,20.00,G3

C5C4E3F4D3C2
4,0.00,6699,3349500.00,21.00,C3
4,0.00,7930,3965000.00,20.00,C6
6,0.06,163210,2967454.55,17.00,G4
6,0.03,91493,3154931.03,26.00,H4
8,1.17,3536676,3012500.85,14.00,B4
8,1.41,4024471,2864392.17,22.00,A4

F4F5E6D3E3F2
4,0.01,16083,2680500.00,27.00,C6
4,0.00,12528,3132000.00,-1.00,C5
6,0.14,388876,2880562.96,30.00,C6
6,0.10,295397,2840355.77,2.00,C5
8,3.56,9800132,2753619.56,33.00,C6
8,2.10,5960114,2838149.52,-0.00,E7

F4F5G6G3C6C4
4,0.00,2292,2292000.00,35.00,D3
4,0.00,6519,3259500.00,2.00,E3
6,0.01,39189,2612600.00,29.00,F3
6,0.06,158839,2887981.82,-1.00,E3
8,0.29,851176,2905037.54,33.00,F3
8,1.19,3368968,2840613.83,-0.00,E3

C5C6C7E6D6B8
4,0.00,6245,3122500.00,62.00,F6
4,0.00,4770,4770000.00,-18.00,C4
6,0.04,126965,3022976.19,61.00,F6
6,0.03,90577,2921838.71,-11.00,C4
8,0.77,2222254,2874843.47,57.00,F3
8,0.83,2314331,2781647.84,-18.00,C4

C5E6F3C4E7G2B3B4D3D6F5G5B6F4G4E2
4,0.02,51720,2586000.00,66.00,D1
4,0.02,57317,3016684.21,-31.00,F8
6,0.64,1695922,2666544.03,74.00,A4
6,0.60,1683598,2792036.48,-40.00,E3
8,16.83,44898552,2668244.61,78.00,A4
8,14.07,39882878,2834201.11,-44.00,E3

F4D3C4B5D2D1C5D6B4F5E6A3E3G5A6F6
4,0.01,29798,2979800.00,20.00,C6
4,0.00,6692,3346000.00,22.00,A5
6,0.30,815997,2684200.66,20.00,C2
